countryName,year,OtherSources,Waste,Industry,Residential_commercial,Transport ,Agriculture,Forestry,LandUseSources,Energy
China,1990,45479644.5,155934009.4,285195433.9,616933642.5,143590845.5,551463152.9,-323620000,2650254.8,1937792041
China,1991,46103949.7,160033543.3,305734119.7,615965619,155750233.9,555362954.4,-323620000,2650254.8,2060897615
China,1992,47493972.6,164124770.6,342336640.9,578138255.6,167344577.8,558507681.5,-323620000,2650254.8,2188342494
China,1993,48537620.3,168900564.8,378140529,591039830.2,187480350,540323255,-323620000,2650254.8,2381236337
China,1994,48799893.5,173600388.5,414534433.9,568949615.5,179210816.4,557364767.7,-323620000,2650254.8,2565498387
China,1995,50517792,178536905,489117459.1,597360174.5,191324122,602574529.6,-323620000,2650254.8,2821417960
China,1996,50691726.4,183387597.8,425139107.5,610673085.1,198068373.9,625283076.7,-323620000,2807860.9,2990461539
China,1997,50841308.2,187874816.1,442859507.2,548535966,218052588.9,611072993.2,-323620000,2695916.5,2988076704
China,1998,52001614.4,193464498.1,446771884.9,479622199.6,242607796.9,611281048,-323620000,2977435.6,3090760317
China,1999,51640125.8,199981965.6,478926516.6,485456253.5,260305218,625738425,-323620000,2774298.2,2963370262
China,2000,51641844.7,204969440.5,494390032.5,475423591.9,269790845.4,613044208.5,-323620000,3027065.9,2959060441
China,2001,51614934.8,210376966.2,524757483.8,479537836,272547518.6,619850855.8,-341073333.3,2858767.4,3003770377
China,2002,52788610.5,215454791.4,564748832,487804588.6,283844437.1,616277263.9,-341073333.3,1695477.8,3249825218
China,2003,55733477.4,220784974.9,639551269.7,509161786.8,315909469,616903791.2,-341073333.3,5575418,3811573139
China,2004,58691737.5,226414015.4,712041695.2,547868569.5,350174124.8,644938223.4,-341073333.3,2449697.1,4537887622
China,2005,60306805,231081644.9,777919130.5,576182039.1,382694539,661022328.1,-341073333.3,1733284.4,5052703724
China,2006,62522560.9,236733727.7,875914631.3,585628374.6,417383682.3,674802099.5,-397393333.3,2282536.2,5612604293
China,2007,64369114.3,243147547,959750374.9,590304639.6,457296190.8,682468843.3,-397393333.3,2252148,6032021479
China,2008,67875602.6,247934724.2,991543353,625141556.2,456753308.5,690163870.6,-397393333.3,4239817,6794722117
China,2009,70236501.5,253657954.5,1117791183,637947545.7,475335358,699001828.6,-397393333.3,2953841,7139932060
China,2010,72072464.9,260282076.5,1234587342,671106399.2,520587143.2,709958644.6,-397393333.3,1941205.5,7492561696
